Model,MAE,RMSE,R2 Score
Linear Regression,19004.97227451359,47670.0640124931,0.9950552806514623
Decision Tree,3921.895783991608,19608.064415403307,0.9991633965971043
Random Forest,3931.464022448001,16141.03825879217,0.9994330913146912
